date,total_tests,new_tests,total_cases,new_cases,total_deaths,new_deaths,total_recovered,total_cases_per_million,new_cases_per_million,total_deaths_per_million,new_deaths_per_million,total_tests_per_thousand,new_tests_per_thousand,,,,,,
8-Mar,127,7,0,0,0,0,0,0,0,0,0,0.001,0,,,,,,
9-Mar,137,10,3,3,0,0,0,0.018,0.018,0,0,0.001,0,,,,,,
10-Mar,147,10,3,0,0,0,0,0.018,0,0,0,0.001,0,,,,,,
11-Mar,163,16,3,0,0,0,2,0.018,0,0,0,0.001,0,,,,,,
12-Mar,187,24,3,0,0,0,2,0.018,0,0,0,0.001,0,,,,,,
13-Mar,211,24,3,0,0,0,2,0.018,0,0,0,0.001,0,,,,,,
14-Mar,241,30,3,0,0,0,3,0.018,0,0,0,0.001,0,,,,,,
15-Mar,268,27,3,0,0,0,3,0.018,0,0,0,0.002,0,,,,,,
16-Mar,293,25,3,0,0,0,3,0.018,0,0,0,0.002,0,,,,,,
17-Mar,342,49,5,2,0,0,2,0.03,0.012,0,0,0.002,0,,,,,,
18-Mar,381,39,8,3,0,0,3,0.049,0.018,0,0,0.002,0,,,,,,
19-Mar,427,46,10,2,0,0,3,0.061,0.012,0,0,0.003,0,,,,,,
20-Mar,463,36,10,0,0,0,3,0.061,0,0,0,0.003,0,,,,,,
21-Mar,499,36,17,7,0,0,3,0.103,0.043,0,0,0.003,0,,,,,,
22-Mar,564,65,24,7,2,2,5,0.146,0.043,0.012,0.012,0.003,0,,,,,,
23-Mar,620,56,27,3,3,1,5,0.164,0.018,0.018,0.006,0.004,0,,,,,,
24-Mar,712,92,33,6,3,0,5,0.2,0.036,0.018,0,0.004,0.001,,,,,,
25-Mar,794,82,39,6,4,1,5,0.237,0.036,0.024,0.006,0.005,0,,,,,,
26-Mar,920,126,39,0,5,1,11,0.237,0,0.03,0.006,0.006,0.001,,,,,,
27-Mar,1026,106,48,9,5,0,11,0.291,0.055,0.03,0,0.006,0.001,,,,,,
28-Mar,1076,50,48,0,5,0,15,0.291,0,0.03,0,0.007,0,,,,,,
29-Mar,1185,109,48,0,5,0,15,0.291,0,0.03,0,0.007,0.001,,,,,,
30-Mar,1338,153,49,1,5,0,19,0.298,0.006,0.03,0,0.008,0.001,,,,,,
31-Mar,1602,264,49,0,5,0,25,0.298,0,0.03,0,0.01,0.002,,,,,,
1-Apr,1759,157,51,2,5,0,26,0.31,0.012,0.03,0,0.011,0.001,,,,,,
2-Apr,1906,147,54,3,6,1,26,0.328,0.018,0.036,0.006,0.012,0.001,,,,,,
3-Apr,2113,207,56,2,6,0,26,0.34,0.012,0.036,0,0.013,0.001,,,,,,
4-Apr,2547,434,61,5,6,0,30,0.37,0.03,0.036,0,0.015,0.003,,,,,,
5-Apr,2914,367,70,9,8,2,33,0.425,0.055,0.049,0.012,0.018,0.002,,,,,,
6-Apr,3610,696,88,18,9,1,33,0.534,0.109,0.055,0.006,0.022,0.004,,,,,,
7-Apr,4402,792,123,35,12,3,33,0.747,0.213,0.073,0.018,0.027,0.005,,,,,,
8-Apr,5383,981,164,41,17,5,33,0.996,0.249,0.103,0.03,0.033,0.006,,,,,,
9-Apr,6480,1097,218,54,20,3,33,1.324,0.328,0.121,0.018,0.039,0.007,,,,,,
10-Apr,7664,1184,330,112,21,1,33,2.004,0.68,0.128,0.006,0.047,0.007,,,,,,
11-Apr,8313,649,424,94,27,6,36,2.575,0.571,0.164,0.036,0.05,0.004,,,,,,
12-Apr,9653,1340,482,58,30,3,39,2.927,0.352,0.182,0.018,0.059,0.008,,,,,,
13-Apr,11223,1570,621,139,34,4,42,3.771,0.844,0.206,0.024,0.068,0.01,,,,,,
14-Apr,13128,1905,803,182,39,5,42,4.876,1.105,0.237,0.03,0.08,0.012,,,,,,
15-Apr,14868,1740,1012,209,46,7,49,6.145,1.269,0.279,0.043,0.09,0.011,,,,,,
16-Apr,17003,2135,1231,219,50,4,49,7.475,1.33,0.304,0.024,0.103,0.013,,,,,,
17-Apr,19193,2190,1572,341,60,10,58,9.545,2.071,0.364,0.061,0.117,0.013,,,,,,
18-Apr,21307,2114,1838,266,75,15,66,11.16,1.615,0.455,0.091,0.129,0.013,,,,,,
19-Apr,23941,2634,2144,306,84,9,75,13.018,1.858,0.51,0.055,0.145,0.016,,,,,,
20-Apr,26604,2663,2456,312,91,7,85,14.913,1.894,0.553,0.043,0.162,0.016,,,,,,
21-Apr,29578,2974,2948,492,101,10,87,17.9,2.987,0.613,0.061,0.18,0.018,,,,,,
22-Apr,32674,3096,3382,434,110,9,92,20.536,2.635,0.668,0.055,0.198,0.019,,,,,,
23-Apr,36090,3416,3772,390,120,10,108,22.904,2.368,0.729,0.061,0.219,0.021,,,,,,
24-Apr,39776,3686,4186,414,127,7,112,25.418,2.514,0.771,0.043,0.242,0.022,,,,,,
25-Apr,43012,3236,4689,503,131,4,113,28.472,3.054,0.795,0.024,0.261,0.02,,,,,,
26-Apr,46485,3473,4998,309,140,9,122,30.348,1.876,0.85,0.055,0.282,0.021,,,,,,
27-Apr,50297,3812,5416,418,145,5,131,32.886,2.538,0.88,0.03,0.305,0.023,,,,,,
28-Apr,54733,4436,5913,497,152,7,139,35.904,3.018,0.923,0.043,0.332,0.027,,,,,,
29-Apr,59701,4968,6462,549,155,3,150,39.238,3.334,0.941,0.018,0.363,0.03,,,,,,
